"funcao","kind","language","return_type","complexidade"
"ponto.private_incluir_entidades()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_falta_ausencia_marcacao()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_faltas()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_feriados()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_historicos_gravados()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_horarios()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_inconsistencias()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_lancamentos(a_data date)","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_lancamentos_compensados(a_data_final date)","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_lancamentos_pagos(a_data_final date)","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_marcacoes()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minimo_entre_jornadas_nao_cumprido()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minutos_adicional_domingos()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minutos_adicional_feriados()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minutos_atrasos()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minutos_atrasos_entradas()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minutos_atrasos_intervalos()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minutos_entradas_antecipadas()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minutos_extras()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minutos_extras_entradas()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minutos_extras_intervalos()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minutos_extras_saidas()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minutos_normais_trabalhados()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_minutos_saidas_antecipadas()","FUNCTION","plpgsql","void","Media"
